country,year,gdp_per_capita
Austria,1960,939.914814681174
Austria,1961,1036.72820436083
Austria,1962,1093.01419061569
Austria,1963,1172.55744626178
Austria,1964,1275.45715281679
Austria,1965,1381.07725824421
Austria,1966,1494.04911382106
Austria,1967,1577.14147705169
Austria,1968,1685.66211669148
Austria,1969,1834.0780781796
Austria,1970,2050.7051537705
Austria,1971,2371.65247955003
Austria,1972,2912.59577111524
Austria,1973,3875.48305618551
Austria,1974,4612.61920779656
Austria,1975,5264.91772004051
Austria,1976,5656.1451383787
Austria,1977,6783.95142193665
Austria,1978,8173.32926347245
Austria,1979,9755.4044562579
Austria,1980,10826.9718274995
Austria,1981,9348.48832395232
Austria,1982,9373.48820626125
Austria,1983,9500.05070417494
Austria,1984,8955.84829191534
Austria,1985,9136.17092559695
Austria,1986,13031.8281010744
Austria,1987,16328.5613047296
Austria,1988,17509.7658683817
Austria,1989,17400.5226619741
Austria,1990,21596.068219998
Austria,1991,22323.1312492943
Austria,1992,24782.7118767063
Austria,1993,23987.2037240657
Austria,1994,25546.2460525087
Austria,1995,30207.0674314652
Austria,1996,29645.9451251491
Austria,1997,26571.7523626508
Austria,1998,27212.4642905708
Austria,1999,27078.7081612201
Austria,2000,24487.2974685956
Austria,2001,24430.495982841
Austria,2002,26334.862215032
Austria,2003,32110.1159661425
Austria,2004,36614.2506533707
Austria,2005,38157.37022862
Austria,2006,40382.2078298575
Austria,2007,46622.9622913635
Austria,2008,51581.3982361071
Austria,2009,47857.4446635266
Austria,2010,46611.1393420232
Austria,2011,51116.8953522042
Austria,2012,48250.4059142637
Austria,2013,50305.3545774973
Austria,2014,51314.9722616322
Austria,2015,43915.228020857
Austria,2016,45061.4993920192
Austria,2017,47163.7425775142
Austria,2018,51194.0749841299
Austria,2019,49885.9947355204
Austria,2020,48716.4098900349
Austria,2021,53648.6437976214
Austria,2022,52336.7725223758
Austria,2023,56579.504175468
Austria,2024,58268.8787651601
Belgium,1960,1290.28607216192
Belgium,1961,1367.78885228138
Belgium,1962,1457.26516998378
Belgium,1963,1555.02293182578
Belgium,1964,1724.01894179056
Belgium,1965,1859.50998671639
Belgium,1966,1983.13119821777
Belgium,1967,2113.82194132888
Belgium,1968,2251.31575906782
Belgium,1969,2490.1071730838
Belgium,1970,2765.89099664794
Belgium,1971,3082.92798879126
Belgium,1972,3831.63189999433
Belgium,1973,4900.96220075866
Belgium,1974,5733.79813933878
Belgium,1975,6701.37736052433
Belgium,1976,7243.04734119583
Belgium,1977,8426.94695947372
Belgium,1978,10289.7684173296
Belgium,1979,11810.6158754725
Belgium,1980,12864.0025661396
Belgium,1981,10622.8024830789
Belgium,1982,9343.86109959618
Belgium,1983,8846.23429846974
Belgium,1984,8457.26880316374
Belgium,1985,8750.81851250536
Belgium,1986,12170.0406962702
Belgium,1987,15135.8523116968
Belgium,1988,16391.093827791
Belgium,1989,16525.0617432848
Belgium,1990,20600.3752789827
Belgium,1991,21041.6606519648
Belgium,1992,23372.619171015
Belgium,1993,22283.9360213551
Belgium,1994,24208.5547931447
Belgium,1995,28413.8264387368
Belgium,1996,27489.5551770488
Belgium,1997,24820.9380503896
Belgium,1998,25338.4432934904
Belgium,1999,25252.8019066564
Belgium,2000,23098.8865077401
Belgium,2001,23015.0712632462
Belgium,2002,25006.191397109
Belgium,2003,30655.2092679024
Belgium,2004,35429.4077933344
Belgium,2005,36809.7013403619
Belgium,2006,38705.1067959147
Belgium,2007,44319.165448813
Belgium,2008,48303.397956286
Belgium,2009,44923.3400135081
Belgium,2010,44197.393671162
Belgium,2011,47760.8298776546
Belgium,2012,44874.1709182123
Belgium,2013,46964.5946777056
Belgium,2014,47995.7786961339
Belgium,2015,40893.804537772
Belgium,2016,41854.5498296444
Belgium,2017,44035.3239358548
Belgium,2018,47487.2100392561
Belgium,2019,46716.6227467964
Belgium,2020,45906.2875805246
Belgium,2021,51658.238294958
Belgium,2022,50605.7496677086
Belgium,2023,55291.4754541329
Belgium,2024,56614.5679499036
Bulgaria,1980,2238.80295786574
Bulgaria,1981,2234.81481573125
Bulgaria,1982,2169.00401089683
Bulgaria,1983,1852.81343442802
Bulgaria,1984,1963.57267618274
Bulgaria,1985,1914.55064658793
Bulgaria,1986,2260.4272811545
Bulgaria,1987,3132.30136036246
Bulgaria,1988,2511.39306259489
Bulgaria,1989,2477.0208179596
Bulgaria,1990,2366.52982128614
Bulgaria,1991,883.736578319325
Bulgaria,1992,1007.34454544881
Bulgaria,1993,1278.52511370319
Bulgaria,1994,1149.89464008734
Bulgaria,1995,2259.25922555221
Bulgaria,1996,1470.19259250682
Bulgaria,1997,1361.40938439884
Bulgaria,1998,1820.44866449942
Bulgaria,1999,1660.9089125393
Bulgaria,2000,1621.26210738992
Bulgaria,2001,1770.90704918691
Bulgaria,2002,2092.98288625558
Bulgaria,2003,2719.49436859287
Bulgaria,2004,3389.68743360274
Bulgaria,2005,3899.82596332878
Bulgaria,2006,4523.1465578805
Bulgaria,2007,5888.57081403932
Bulgaria,2008,7271.30338858025
Bulgaria,2009,6988.27316296465
Bulgaria,2010,6853.94805511171
Bulgaria,2011,7849.58061302818
Bulgaria,2012,7431.95789508871
Bulgaria,2013,7795.98092108928
Bulgaria,2014,8069.60005667684
Bulgaria,2015,7268.65445473873
Bulgaria,2016,7822.49923292968
Bulgaria,2017,8696.68930427924
Bulgaria,2018,9849.38397225174
Bulgaria,2019,10353.7204584127
Bulgaria,2020,10760.211975413
Bulgaria,2021,12966.1457543396
Bulgaria,2022,13999.1949530956
Bulgaria,2023,15853.208636704
Bulgaria,2024,17596.0173663521
Cyprus,1975,976.329895019531
Cyprus,1976,1157.41162109375
Cyprus,1977,1476.24755859375
