country,year,health_expenditure
Austria,2000,9.38934517
Austria,2001,9.45243549
Austria,2002,9.59139919
Austria,2003,9.69844246
Austria,2004,9.81532383
Austria,2005,9.71779728
Austria,2006,9.64073944
Austria,2007,9.60482597
Austria,2008,9.83415222
Austria,2009,10.31152916
Austria,2010,10.31620026
Austria,2011,10.1370182
Austria,2012,10.30198097
Austria,2013,10.40574837
Austria,2014,10.51159096
Austria,2015,10.51688385
Austria,2016,10.51713753
Austria,2017,10.57132816
Austria,2018,10.5157156
Austria,2019,10.62530422
Austria,2020,11.41292953
Austria,2021,12.185215
Austria,2022,11.22519779
Austria,2023,11.15297318
Austria,2024,11.8325634
Belgium,2000,7.99917603
Belgium,2001,8.14988899
Belgium,2002,8.3182106
Belgium,2003,9.18925285
Belgium,2004,9.35496902
Belgium,2005,9.25018311
Belgium,2006,9.1325655
Belgium,2007,9.1392889
Belgium,2008,9.60036659
Belgium,2009,10.54393387
Belgium,2010,10.41325188
Belgium,2011,10.41302204
Belgium,2012,10.5865345
Belgium,2013,10.63787556
Belgium,2014,10.62032604
Belgium,2015,10.88387299
Belgium,2016,10.89833736
Belgium,2017,10.94042683
Belgium,2018,10.9937973
Belgium,2019,10.85831451
Belgium,2020,11.46253014
Belgium,2021,11.28825092
Belgium,2022,10.73976326
Belgium,2023,10.80371571
Bulgaria,2000,5.82970953
Bulgaria,2001,6.85958815
Bulgaria,2002,7.0809865
Bulgaria,2003,7.19987392
Bulgaria,2004,6.89090872
Bulgaria,2005,6.89011478
Bulgaria,2006,6.52544546
Bulgaria,2007,6.15651751
Bulgaria,2008,6.28281593
Bulgaria,2009,6.59577608
Bulgaria,2010,7.09477949
Bulgaria,2011,7.10250568
Bulgaria,2012,7.53903675
Bulgaria,2013,7.14167452
Bulgaria,2014,7.68306208
Bulgaria,2015,7.39363575
Bulgaria,2016,7.45975018
Bulgaria,2017,7.49624491
Bulgaria,2018,7.34086275
Bulgaria,2019,7.11813641
Bulgaria,2020,8.44060898
Bulgaria,2021,8.58048916
Bulgaria,2022,7.63849449
Bulgaria,2023,7.91853094
Cyprus,2000,5.30800056
Cyprus,2001,5.33940458
Cyprus,2002,5.61565971
Cyprus,2003,5.63568783
Cyprus,2004,5.40558147
Cyprus,2005,5.43580961
Cyprus,2006,5.46357489
Cyprus,2007,5.35744858
Cyprus,2008,6.01430845
Cyprus,2009,6.46531534
Cyprus,2010,6.50055742
Cyprus,2011,6.43139076
Cyprus,2012,6.53638792
Cyprus,2013,6.92774534
Cyprus,2014,6.93137264
Cyprus,2015,6.79382181
Cyprus,2016,6.65254688
Cyprus,2017,6.62192535
Cyprus,2018,6.78446245
Cyprus,2019,6.99843168
Cyprus,2020,8.64796448
Cyprus,2021,8.87445068
Cyprus,2022,8.27201366
Cyprus,2023,8.11912918
Czechia,2000,5.66916943
Czechia,2001,5.83479309
Czechia,2002,6.14656258
Czechia,2003,6.50168419
Czechia,2004,6.33308411
Czechia,2005,6.33529043
Czechia,2006,6.16489983
Czechia,2007,5.99029112
Czechia,2008,6.33855247
Czechia,2009,7.2650013
Czechia,2010,7.47836781
Czechia,2011,7.47281456
Czechia,2012,7.53974962
Czechia,2013,7.44831276
Czechia,2014,7.53919601
Czechia,2015,7.29346752
Czechia,2016,7.32258606
Czechia,2017,7.24190664
Czechia,2018,7.37173605
Czechia,2019,7.48754358
Czechia,2020,8.96995831
Czechia,2021,9.15420723
Czechia,2022,8.47063065
Czechia,2023,8.42677402
Czechia,2024,8.50710297
Germany,2000,9.75930405
Germany,2001,9.78105545
Germany,2002,10.028965
Germany,2003,10.22255325
Germany,2004,9.97466278
Germany,2005,10.1068058
Germany,2006,9.96236897
Germany,2007,9.83482933
Germany,2008,10.03185749
Germany,2009,10.97003078
Germany,2010,10.8311739
Germany,2011,10.52106953
Germany,2012,10.59356213
Germany,2013,10.7432127
Germany,2014,10.76819706
Germany,2015,10.92317677
Germany,2016,10.97133732
Germany,2017,11.05091095
Germany,2018,11.18380833
Germany,2019,11.42805386
Germany,2020,12.46780777
Germany,2021,12.72403336
Germany,2022,12.44708347
Germany,2023,11.74428654
Germany,2024,12.26655293
Denmark,2000,8.11006165
Denmark,2001,8.44370651
Denmark,2002,8.69506168
Denmark,2003,8.89037418
Denmark,2004,8.98551464
Denmark,2005,9.06716251
Denmark,2006,9.15257931
Denmark,2007,9.30215549
Denmark,2008,9.46797943
Denmark,2009,10.62873173
Denmark,2010,10.59621811
Denmark,2011,10.39758492
Denmark,2012,10.53344631
Denmark,2013,10.29778957
Denmark,2014,10.31388664
Denmark,2015,10.3754549
Denmark,2016,10.28229332
Denmark,2017,10.1137991
Denmark,2018,10.14163208
Denmark,2019,10.18468761
Denmark,2020,10.69237614
Denmark,2021,10.65575886
Denmark,2022,9.47411346
Denmark,2023,9.5572958
Denmark,2024,9.38812923
Spain,2000,6.80217838
Spain,2001,6.76929569
Spain,2002,6.79878616
Spain,2003,7.59223175
Spain,2004,7.68447876
Spain,2005,7.77807474
Spain,2006,7.87072468
Spain,2007,7.96241188
Spain,2008,8.4290638
Spain,2009,9.1530304
Spain,2010,9.16992569
Spain,2011,9.21749687
Spain,2012,9.2189045
Spain,2013,9.13714981
Spain,2014,9.1512289
Spain,2015,9.17553329
Spain,2016,8.88084984
Spain,2017,9.0217495
Spain,2018,9.07122517
Spain,2019,9.21539497
Spain,2020,10.79479218
Spain,2021,10.34419918
Spain,2022,9.6799593
Spain,2023,9.2206583
Estonia,2000,5.17029095
Estonia,2001,4.78399181
Estonia,2002,4.70192671
Estonia,2003,5.13748884
Estonia,2004,5.33641052
Estonia,2005,5.29434633
Estonia,2006,4.97308683
Estonia,2007,5.18429422
Estonia,2008,5.95694113
Estonia,2009,6.84443808
Estonia,2010,6.59404182
Estonia,2011,6.05471659
Estonia,2012,6.03782082
Estonia,2013,6.19788504
Estonia,2014,6.26286125
Estonia,2015,6.52138662
Estonia,2016,6.56918621
Estonia,2017,6.46636105
Estonia,2018,6.56314421
Estonia,2019,6.64763546
Estonia,2020,7.47179365
Estonia,2021,7.47591066
Estonia,2022,6.93641424
Estonia,2023,7.47082138
Estonia,2024,7.83648062
Finland,2000,7.09544373
Finland,2001,7.25165653
Finland,2002,7.63005877
Finland,2003,7.93988276
Finland,2004,8.05999184
Finland,2005,8.28901291
Finland,2006,8.2858429
Finland,2007,8.08415604
Finland,2008,8.34362221
Finland,2009,9.16182804
Finland,2010,9.14183331
Finland,2011,9.23903561
Finland,2012,9.61732101
Finland,2013,9.84504986
Finland,2014,9.83066177
Finland,2015,9.69998264
Finland,2016,9.45625591
Finland,2017,9.19148445
Finland,2018,9.10587025
Finland,2019,9.22295189
Finland,2020,9.69977188
Finland,2021,9.90969753
Finland,2022,9.74152565
Finland,2023,10.47389507
France,2000,9.61744022
France,2001,9.75719261
France,2002,10.08250141
France,2003,10.13474941
France,2004,10.2117033
France,2005,10.23720551
France,2006,10.39764977
France,2007,10.33418846
France,2008,10.51340675
France,2009,11.29095459
France,2010,11.22430801
France,2011,11.17601013
France,2012,11.33749485
France,2013,11.37891197
France,2014,11.57935429
France,2015,11.50032997
France,2016,11.57036018
France,2017,11.44944572
France,2018,11.30847645
France,2019,11.17058277
France,2020,12.12949371
France,2021,12.24894238
France,2022,11.82888794
France,2023,11.51974583
France,2024,11.53530598
Greece,2000,7.51388931
Greece,2001,8.24545956
Greece,2002,8.46998692
Greece,2003,8.68253994
Greece,2004,8.30002213
Greece,2005,8.76117897
Greece,2006,8.39596939
Greece,2007,8.52304935
Greece,2008,8.948102
Greece,2009,9.53581333
Greece,2010,9.61952496
Greece,2011,9.18577003
Greece,2012,9.04327774
Greece,2013,8.52183914
Greece,2014,7.94358587
Greece,2015,8.26719952
Greece,2016,8.45097542
Greece,2017,8.11336899
Greece,2018,8.07267761
Greece,2019,8.11709499
Greece,2020,9.38074493
Greece,2021,9.03178692
Greece,2022,8.44938278
Greece,2023,8.39367008
Croatia,2000,7.65084314
Croatia,2001,7.16995239
Croatia,2002,6.14300489
Croatia,2003,6.29782534
Croatia,2004,6.5067997
Croatia,2005,6.84068108
Croatia,2006,6.90362167
Croatia,2007,7.38946152
Croatia,2008,7.63643503
Croatia,2009,8.03311729
Croatia,2010,7.94908857
Croatia,2011,7.62508154
Croatia,2012,7.63413
Croatia,2013,6.37271595
Croatia,2014,6.56612396
Croatia,2015,6.65548038
Croatia,2016,6.69167471
Croatia,2017,6.62803125
Croatia,2018,6.7136178
Croatia,2019,6.78699923
Croatia,2020,7.68352938
Croatia,2021,8.08265686
Croatia,2022,7.29636335
Croatia,2023,7.14699411
Hungary,2000,6.76979256
Hungary,2001,6.8197937
Hungary,2002,7.1181159
Hungary,2003,8.12986469
Hungary,2004,7.76592064
Hungary,2005,7.99248505
Hungary,2006,7.78556442
Hungary,2007,7.20719147
Hungary,2008,7.09275723
Hungary,2009,7.2366724
Hungary,2010,7.46420383
Hungary,2011,7.49342251
Hungary,2012,7.43047714
Hungary,2013,7.23645353
Hungary,2014,7.04192352
Hungary,2015,6.8501935
Hungary,2016,6.96752644
Hungary,2017,6.73338366
Hungary,2018,6.55460501
Hungary,2019,6.24677849
Hungary,2020,7.230515
Hungary,2021,7.33524847
Hungary,2022,6.6474123
Hungary,2023,6.36868954
Ireland,2000,5.8990283
Ireland,2001,6.39249372
Ireland,2002,6.67263031
Ireland,2003,7.00761414
Ireland,2004,7.21972942
Ireland,2005,7.64242792
Ireland,2006,7.51646996
Ireland,2007,7.80773735
Ireland,2008,9.12564754
Ireland,2009,10.52275753
Ireland,2010,10.52062798
Ireland,2011,10.4888649
Ireland,2012,10.47466946
Ireland,2013,10.0333004
Ireland,2014,9.23077869
Ireland,2015,7.07827806
Ireland,2016,7.3382206
Ireland,2017,6.91718578
Ireland,2018,6.74710846
Ireland,2019,6.61860561
Ireland,2020,6.97323275
Ireland,2021,6.44113493
Ireland,2022,6.02078247
Ireland,2023,6.57538509
Ireland,2024,6.85410833
Italy,2000,7.54701233
Italy,2001,7.71115828
Italy,2002,7.83638906
Italy,2003,7.80670929
Italy,2004,8.13726902
Italy,2005,8.30906773
Italy,2006,8.39791012
Italy,2007,8.10167217
Italy,2008,8.50157547
Italy,2009,8.91290951
Italy,2010,8.87928963
Italy,2011,8.728508
Italy,2012,8.7983427
Italy,2013,8.7897644
Italy,2014,8.85913563
Italy,2015,8.84596729
Italy,2016,8.72043991
Italy,2017,8.69060516
Italy,2018,8.65467453
Italy,2019,8.61536789
Italy,2020,9.5643034
Italy,2021,9.28164482
Italy,2022,8.85022926
Italy,2023,8.40559483
Italy,2024,8.44437313
Lithuania,2000,6.18559313
Lithuania,2001,6.00193262
Lithuania,2002,6.13477659
Lithuania,2003,6.17724085
Lithuania,2004,5.48347187
Lithuania,2005,5.64637566
Lithuania,2006,5.85725737
Lithuania,2007,5.75978613
Lithuania,2008,6.29010201
Lithuania,2009,7.34499836
Lithuania,2010,6.9058671
Lithuania,2011,6.54017687
Lithuania,2012,6.30798101
Lithuania,2013,6.15501022
Lithuania,2014,6.22244453
Lithuania,2015,6.47396851
Lithuania,2016,6.64928818
Lithuania,2017,6.44472837
Lithuania,2018,6.46896172
Lithuania,2019,6.94472647
Lithuania,2020,7.41619062
Lithuania,2021,7.73210812
Lithuania,2022,7.24367952
Lithuania,2023,7.31801939
Lithuania,2024,7.59519005
Luxembourg,2000,5.92533875
Luxembourg,2001,6.38193941
Luxembourg,2002,6.76099968
Luxembourg,2003,6.96221447
Luxembourg,2004,7.2793355
Luxembourg,2005,7.12328196
Luxembourg,2006,6.6364212
Luxembourg,2007,6.15803099
Luxembourg,2008,6.23101091
Luxembourg,2009,6.94993162
Luxembourg,2010,6.66263008
Luxembourg,2011,5.95225334
Luxembourg,2012,5.29404306
Luxembourg,2013,5.23557377
Luxembourg,2014,5.23040915
Luxembourg,2015,5.08113575
Luxembourg,2016,5.07103872
Luxembourg,2017,5.13535357
Luxembourg,2018,5.27355194
Luxembourg,2019,5.46640301
Luxembourg,2020,5.7671175
Luxembourg,2021,5.60806084
Luxembourg,2022,5.60926914
Luxembourg,2023,5.78777981
Luxembourg,2024,5.89136267
Latvia,2000,5.57169294
Latvia,2001,5.89092207
Latvia,2002,5.95477772
Latvia,2003,5.73644829
Latvia,2004,6.47518539
Latvia,2005,6.08161736
Latvia,2006,6.02127075
Latvia,2007,5.81969213
Latvia,2008,5.86603212
Latvia,2009,6.2683239
Latvia,2010,6.22420359
Latvia,2011,5.91758251
Latvia,2012,5.62075043
Latvia,2013,5.60404825
Latvia,2014,5.66363621
Latvia,2015,5.84916782
Latvia,2016,6.35184479
Latvia,2017,6.18721867
Latvia,2018,6.40854263
Latvia,2019,6.86276913
Latvia,2020,7.50587368
Latvia,2021,9.4105072
Latvia,2022,8.1044302
Latvia,2023,7.27783823
Malta,2000,6.62621355
Malta,2001,7.0297122
Malta,2002,7.73333311
Malta,2003,7.93917513
Malta,2004,8.03966808
Malta,2005,8.69497585
Malta,2006,8.84659672
Malta,2007,8.18593979
Malta,2008,7.82490158
Malta,2009,7.88854265
Malta,2010,7.89857197
Malta,2011,8.31816673
Malta,2012,8.24921417
Malta,2013,8.30319595
Malta,2014,8.88463974
Malta,2015,8.70199776
Malta,2016,8.69928074
Malta,2017,8.31366253
Malta,2018,8.11269569
Malta,2019,8.89282227
Malta,2020,9.85403538
Malta,2021,9.52782059
Malta,2022,9.09105396
Malta,2023,8.84301376
Netherlands,2000,7.70382404
Netherlands,2001,8.04176903
Netherlands,2002,8.61879349
Netherlands,2003,9.01979256
Netherlands,2004,9.07156658
Netherlands,2005,9.05984592
Netherlands,2006,9.03575516
Netherlands,2007,9.00052166
Netherlands,2008,9.21819305
Netherlands,2009,9.90839005
Netherlands,2010,10.09452248
Netherlands,2011,10.14537811
Netherlands,2012,10.45467281
Netherlands,2013,10.50247383
Netherlands,2014,10.45699596
Netherlands,2015,10.18857956
Netherlands,2016,9.89148426
Netherlands,2017,9.93712521
Netherlands,2018,9.85083961
Netherlands,2019,9.93616295
Netherlands,2020,10.94954681
Netherlands,2021,11.13498974
Netherlands,2022,10.03109169
Netherlands,2023,9.83150005
Netherlands,2024,10.00551128
Poland,2000,5.26548243
Poland,2001,5.64010143
Poland,2002,6.04828405
Poland,2003,5.93375778
Poland,2004,5.84185648
Poland,2005,5.79073858
Poland,2006,5.78148365
Poland,2007,5.86390114
Poland,2008,6.35196781
Poland,2009,6.57037735
Poland,2010,6.43533468
Poland,2011,6.24533606
Poland,2012,6.22854042
Poland,2013,6.44993687
Poland,2014,6.39059496
Poland,2015,6.36490345
Poland,2016,6.5470438
Poland,2017,6.53713226
Poland,2018,6.25094128
Poland,2019,6.38906956
Poland,2020,6.42739105
Poland,2021,6.3654809
Poland,2022,6.46619797
Poland,2023,7.13848782
Poland,2024,8.06380177
Portugal,2000,8.60104179
Portugal,2001,8.62751579
Portugal,2002,8.78642941
Portugal,2003,9.12415695
Portugal,2004,9.5325079
Portugal,2005,9.65306759
Portugal,2006,9.35422611
Portugal,2007,9.25186634
Portugal,2008,9.58307838
Portugal,2009,10.13070393
Portugal,2010,10.01858425
Portugal,2011,9.71847439
Portugal,2012,9.64000225
Portugal,2013,9.39476109
Portugal,2014,9.33570766
Portugal,2015,9.33309937
Portugal,2016,9.39989281
Portugal,2017,9.32668972
